,state,county,fips,total_population,total_votes16
0,Alabama,Autauga,1001,55049.0,24973
1,Alabama,Baldwin,1003,199510.0,95215
2,Alabama,Barbour,1005,26614.0,10469
3,Alabama,Bibb,1007,22572.0,8819
4,Alabama,Blount,1009,57704.0,25588
5,Alabama,Bullock,1011,10552.0,4710
6,Alabama,Butler,1013,20280.0,8732
7,Alabama,Calhoun,1015,115883.0,47864
8,Alabama,Chambers,1017,34018.0,13900
9,Alabama,Cherokee,1019,25897.0,10733
10,Alabama,Chilton,1021,43817.0,18369
11,Alabama,Choctaw,1023,13287.0,7292
12,Alabama,Clarke,1025,24847.0,13031
13,Alabama,Clay,1027,13483.0,6624
14,Alabama,Cleburne,1029,14991.0,6593
15,Alabama,Coffee,1031,50991.0,20767
16,Alabama,Colbert,1033,54377.0,24915
17,Alabama,Conecuh,1035,12697.0,6585
18,Alabama,Coosa,1037,10864.0,5252
19,Alabama,Covington,1039,37729.0,15940
20,Alabama,Crenshaw,1041,13896.0,6267
21,Alabama,Cullman,1043,81316.0,37873
22,Alabama,Dale,1045,49607.0,18749
23,Alabama,Dallas,1047,41426.0,18792
24,Alabama,DeKalb,1049,70937.0,25826
25,Alabama,Elmore,1051,80957.0,37260
26,Alabama,Escambia,1053,37875.0,14845
27,Alabama,Etowah,1055,103363.0,44164
28,Alabama,Fayette,1057,16783.0,8249
29,Alabama,Franklin,1059,31573.0,12040
30,Alabama,Geneva,1061,26765.0,11758
31,Alabama,Greene,1063,8587.0,4880
32,Alabama,Hale,1065,15159.0,8040
33,Alabama,Henry,1067,17187.0,8072
34,Alabama,Houston,1069,103891.0,42639
35,Alabama,Jackson,1071,52608.0,20984
36,Alabama,Jefferson,1073,659096.0,304191
37,Alabama,Lamar,1075,14066.0,6966
38,Alabama,Lauderdale,1077,92641.0,39525
39,Alabama,Lawrence,1079,33433.0,14829
40,Alabama,Lee,1081,153947.0,59191
41,Alabama,Limestone,1083,90257.0,40294
42,Alabama,Lowndes,1085,10565.0,6684
43,Alabama,Macon,1087,19684.0,9140
44,Alabama,Madison,1089,349973.0,163389
45,Alabama,Marengo,1091,20066.0,10994
46,Alabama,Marion,1093,30239.0,12984
47,Alabama,Marshall,1095,94534.0,35316
48,Alabama,Mobile,1097,414291.0,172737
49,Alabama,Monroe,1099,21975.0,10271
50,Alabama,Montgomery,1101,227392.0,95878
51,Alabama,Morgan,1103,119555.0,50644
52,Alabama,Perry,1105,9856.0,5278
53,Alabama,Pickens,1107,20042.0,9542
54,Alabama,Pike,1109,33277.0,13168
55,Alabama,Randolph,1111,22615.0,10187
56,Alabama,Russell,1113,58636.0,19256
57,Alabama,St. Clair,1115,86576.0,38400
58,Alabama,Shelby,1117,205951.0,101254
59,Alabama,Sumter,1119,13285.0,6411
60,Alabama,Talladega,1121,81057.0,33407
61,Alabama,Tallapoosa,1123,40958.0,19486
62,Alabama,Tuscaloosa,1125,202471.0,82700
63,Alabama,Walker,1127,65593.0,29472
64,Alabama,Washington,1129,16909.0,8533
65,Alabama,Wilcox,1131,11119.0,6118
66,Alabama,Winston,1133,24013.0,10313
67,Arizona,Apache,4001,72346.0,27661
68,Arizona,Cochise,4003,128177.0,50015
69,Arizona,Coconino,4005,138064.0,59784
70,Arizona,Gila,4007,53179.0,36697
71,Arizona,Graham,4009,37529.0,20306
72,Arizona,Greenlee,4011,9224.0,5192
73,Arizona,La Paz,4012,20304.0,5951
74,Arizona,Maricopa,4013,4088549.0,1567834
75,Arizona,Mohave,4015,203629.0,79943
76,Arizona,Navajo,4017,108209.0,40294
77,Arizona,Pima,4019,1003338.0,421640
78,Arizona,Pinal,4021,397604.0,129546
79,Arizona,Santa Cruz,4023,46547.0,16433
80,Arizona,Yavapai,4025,218586.0,114450
81,Arizona,Yuma,4027,203292.0,53010
82,Arkansas,Arkansas,5001,18569.0,6212
83,Arkansas,Ashley,5003,20989.0,8083
84,Arkansas,Baxter,5005,40992.0,19766
85,Arkansas,Benton,5007,245231.0,96824
86,Arkansas,Boone,5009,37301.0,16111
87,Arkansas,Bradley,5011,11096.0,3653
88,Arkansas,Calhoun,5013,5210.0,2269
89,Arkansas,Carroll,5015,27690.0,10758
90,Arkansas,Chicot,5017,11189.0,4176
91,Arkansas,Clark,5019,22684.0,8526
92,Arkansas,Clay,5021,15202.0,5200
93,Arkansas,Cleburne,5023,25587.0,12085
94,Arkansas,Cleveland,5025,8421.0,3354
95,Arkansas,Columbia,5027,24168.0,8887
96,Arkansas,Conway,5029,21060.0,7927
97,Arkansas,Craighead,5031,102884.0,35573
98,Arkansas,Crawford,5033,61927.0,22450
99,Arkansas,Crittenden,5035,49511.0,15952
100,Arkansas,Cross,5037,17329.0,6874
101,Arkansas,Dallas,5039,7738.0,2771
102,Arkansas,Desha,5041,12234.0,4257
103,Arkansas,Drew,5043,18688.0,6595
104,Arkansas,Faulkner,5045,120417.0,47527
105,Arkansas,Franklin,5047,17799.0,6770
106,Arkansas,Fulton,5049,12186.0,4772
107,Arkansas,Garland,5051,97119.0,40805
108,Arkansas,Grant,5053,18046.0,7445
109,Arkansas,Greene,5055,43745.0,14600
110,Arkansas,Hempstead,5057,22208.0,7049
111,Arkansas,Hot Spring,5059,33440.0,11944
112,Arkansas,Howard,5061,13487.0,4674
113,Arkansas,Independence,5063,37030.0,13614
114,Arkansas,Izard,5065,13461.0,5448
115,Arkansas,Jackson,5067,17495.0,5156
116,Arkansas,Jefferson,5069,72385.0,25894
117,Arkansas,Johnson,5071,26025.0,9112
118,Arkansas,Lafayette,5073,7127.0,2860
119,Arkansas,Lawrence,5075,16915.0,5685
120,Arkansas,Lee,5077,9781.0,3026
121,Arkansas,Lincoln,5079,13935.0,3826
122,Arkansas,Little River,5081,12616.0,5227
123,Arkansas,Logan,5083,21935.0,7921
124,Arkansas,Lonoke,5085,71279.0,27100
125,Arkansas,Madison,5087,15761.0,6841
126,Arkansas,Marion,5089,16404.0,7107
127,Arkansas,Miller,5091,43666.0,16091
128,Arkansas,Mississippi,5093,44199.0,13204
129,Arkansas,Monroe,5095,7542.0,2884
130,Arkansas,Montgomery,5097,9100.0,3559
131,Arkansas,Nevada,5099,8668.0,3246
132,Arkansas,Newton,5101,7988.0,3753
133,Arkansas,Ouachita,5103,24728.0,9935
134,Arkansas,Perry,5105,10246.0,4306
135,Arkansas,Phillips,5107,19929.0,6953
136,Arkansas,Pike,5109,11017.0,3981
137,Arkansas,Poinsett,5111,24131.0,7722
138,Arkansas,Polk,5113,20290.0,8231
139,Arkansas,Pope,5115,63107.0,22569
140,Arkansas,Prairie,5117,8334.0,3444
141,Arkansas,Pulaski,5119,391806.0,159776
142,Arkansas,Randolph,5121,17584.0,6379
143,Arkansas,St. Francis,5123,27023.0,7430
144,Arkansas,Saline,5125,115577.0,52100
145,Arkansas,Scott,5127,10661.0,3510
146,Arkansas,Searcy,5129,7938.0,3728
147,Arkansas,Sebastian,5131,127351.0,44637
148,Arkansas,Sevier,5133,17193.0,4562
149,Arkansas,Sharp,5135,17027.0,7249
150,Arkansas,Stone,5137,12503.0,5618
151,Arkansas,Union,5139,40334.0,16894
152,Arkansas,Van Buren,5141,16892.0,7339
153,Arkansas,Washington,5143,219930.0,81861
154,Arkansas,White,5145,78823.0,27219
155,Arkansas,Woodruff,5147,6873.0,2571
156,Arkansas,Yell,5149,21716.0,6439
157,California,Alameda,6001,1605217.0,654266
158,California,Alpine,6003,1184.0,602
159,California,Amador,6005,36963.0,17734
160,California,Butte,6007,223877.0,95564
161,California,Calaveras,6009,44787.0,23136
162,California,Colusa,6011,21361.0,6632
163,California,Contra Costa,6013,1107925.0,466175
164,California,Del Norte,6015,27628.0,9558
165,California,El Dorado,6017,183000.0,93591
166,California,Fresno,6019,963160.0,282319
167,California,Glenn,6021,27976.0,9470
168,California,Humboldt,6023,135182.0,59246
169,California,Imperial,6025,178807.0,48091
170,California,Inyo,6027,18326.0,8086
171,California,Kern,6029,871337.0,244163
172,California,Kings,6031,150261.0,33915
173,California,Lake,6033,64076.0,24496
174,California,Lassen,6035,31945.0,10524
175,California,Los Angeles,6037,10057155.0,3434308
176,California,Madera,6039,153366.0,43112
177,California,Marin,6041,259358.0,139273
178,California,Mariposa,6043,17645.0,8877
179,California,Mendocino,6045,87409.0,37477
180,California,Merced,6047,265001.0,70789
181,California,Modoc,6049,9033.0,3788
182,California,Mono,6051,14051.0,5276
183,California,Monterey,6053,430201.0,133408
184,California,Napa,6055,140823.0,61372
185,California,Nevada,6057,98639.0,54935
186,California,Orange,6059,3132211.0,1197521
187,California,Placer,6061,370571.0,182839
188,California,Plumas,6063,18754.0,9676
189,California,Riverside,6065,2323892.0,751391
190,California,Sacramento,6067,1479300.0,559330
191,California,San Benito,6069,58051.0,21924
192,California,San Bernardino,6071,2106754.0,653983
193,California,San Diego,6073,3253356.0,1306400
194,California,San Francisco,6075,850282.0,405792
195,California,San Joaquin,6077,714860.0,224166
196,California,San Luis Obispo,6079,278680.0,135009
197,California,San Mateo,6081,754748.0,314384
