,state,county,total_population
0,Alabama,Autauga,55049.0
1,Alabama,Baldwin,199510.0
2,Alabama,Barbour,26614.0
3,Alabama,Bibb,22572.0
4,Alabama,Blount,57704.0
5,Alabama,Bullock,10552.0
6,Alabama,Butler,20280.0
7,Alabama,Calhoun,115883.0
8,Alabama,Chambers,34018.0
9,Alabama,Cherokee,25897.0
10,Alabama,Chilton,43817.0
11,Alabama,Choctaw,13287.0
12,Alabama,Clarke,24847.0
13,Alabama,Clay,13483.0
14,Alabama,Cleburne,14991.0
15,Alabama,Coffee,50991.0
16,Alabama,Colbert,54377.0
17,Alabama,Conecuh,12697.0
18,Alabama,Coosa,10864.0
19,Alabama,Covington,37729.0
20,Alabama,Crenshaw,13896.0
21,Alabama,Cullman,81316.0
22,Alabama,Dale,49607.0
23,Alabama,Dallas,41426.0
24,Alabama,DeKalb,70937.0
25,Alabama,Elmore,80957.0
26,Alabama,Escambia,37875.0
27,Alabama,Etowah,103363.0
28,Alabama,Fayette,16783.0
29,Alabama,Franklin,31573.0
30,Alabama,Geneva,26765.0
31,Alabama,Greene,8587.0
32,Alabama,Hale,15159.0
33,Alabama,Henry,17187.0
34,Alabama,Houston,103891.0
35,Alabama,Jackson,52608.0
36,Alabama,Jefferson,659096.0
37,Alabama,Lamar,14066.0
38,Alabama,Lauderdale,92641.0
39,Alabama,Lawrence,33433.0
40,Alabama,Lee,153947.0
41,Alabama,Limestone,90257.0
42,Alabama,Lowndes,10565.0
43,Alabama,Macon,19684.0
44,Alabama,Madison,349973.0
45,Alabama,Marengo,20066.0
46,Alabama,Marion,30239.0
47,Alabama,Marshall,94534.0
48,Alabama,Mobile,414291.0
49,Alabama,Monroe,21975.0
50,Alabama,Montgomery,227392.0
51,Alabama,Morgan,119555.0
52,Alabama,Perry,9856.0
53,Alabama,Pickens,20042.0
54,Alabama,Pike,33277.0
55,Alabama,Randolph,22615.0
56,Alabama,Russell,58636.0
57,Alabama,St. Clair,86576.0
58,Alabama,Shelby,205951.0
59,Alabama,Sumter,13285.0
60,Alabama,Talladega,81057.0
61,Alabama,Tallapoosa,40958.0
62,Alabama,Tuscaloosa,202471.0
63,Alabama,Walker,65593.0
64,Alabama,Washington,16909.0
65,Alabama,Wilcox,11119.0
66,Alabama,Winston,24013.0
67,Arizona,Apache,72346.0
68,Arizona,Cochise,128177.0
69,Arizona,Coconino,138064.0
70,Arizona,Gila,53179.0
71,Arizona,Graham,37529.0
72,Arizona,Greenlee,9224.0
73,Arizona,La Paz,20304.0
74,Arizona,Maricopa,4088549.0
75,Arizona,Mohave,203629.0
76,Arizona,Navajo,108209.0
77,Arizona,Pima,1003338.0
78,Arizona,Pinal,397604.0
79,Arizona,Santa Cruz,46547.0
80,Arizona,Yavapai,218586.0
81,Arizona,Yuma,203292.0
82,Arkansas,Arkansas,18569.0
83,Arkansas,Ashley,20989.0
84,Arkansas,Baxter,40992.0
85,Arkansas,Benton,245231.0
86,Arkansas,Boone,37301.0
87,Arkansas,Bradley,11096.0
88,Arkansas,Calhoun,5210.0
89,Arkansas,Carroll,27690.0
90,Arkansas,Chicot,11189.0
91,Arkansas,Clark,22684.0
92,Arkansas,Clay,15202.0
93,Arkansas,Cleburne,25587.0
94,Arkansas,Cleveland,8421.0
95,Arkansas,Columbia,24168.0
96,Arkansas,Conway,21060.0
97,Arkansas,Craighead,102884.0
98,Arkansas,Crawford,61927.0
99,Arkansas,Crittenden,49511.0
100,Arkansas,Cross,17329.0
101,Arkansas,Dallas,7738.0
102,Arkansas,Desha,12234.0
103,Arkansas,Drew,18688.0
104,Arkansas,Faulkner,120417.0
105,Arkansas,Franklin,17799.0
106,Arkansas,Fulton,12186.0
107,Arkansas,Garland,97119.0
108,Arkansas,Grant,18046.0
109,Arkansas,Greene,43745.0
110,Arkansas,Hempstead,22208.0
111,Arkansas,Hot Spring,33440.0
112,Arkansas,Howard,13487.0
113,Arkansas,Independence,37030.0
114,Arkansas,Izard,13461.0
115,Arkansas,Jackson,17495.0
116,Arkansas,Jefferson,72385.0
117,Arkansas,Johnson,26025.0
118,Arkansas,Lafayette,7127.0
119,Arkansas,Lawrence,16915.0
120,Arkansas,Lee,9781.0
121,Arkansas,Lincoln,13935.0
122,Arkansas,Little River,12616.0
123,Arkansas,Logan,21935.0
124,Arkansas,Lonoke,71279.0
125,Arkansas,Madison,15761.0
126,Arkansas,Marion,16404.0
127,Arkansas,Miller,43666.0
128,Arkansas,Mississippi,44199.0
129,Arkansas,Monroe,7542.0
130,Arkansas,Montgomery,9100.0
131,Arkansas,Nevada,8668.0
132,Arkansas,Newton,7988.0
133,Arkansas,Ouachita,24728.0
134,Arkansas,Perry,10246.0
135,Arkansas,Phillips,19929.0
136,Arkansas,Pike,11017.0
137,Arkansas,Poinsett,24131.0
138,Arkansas,Polk,20290.0
139,Arkansas,Pope,63107.0
140,Arkansas,Prairie,8334.0
141,Arkansas,Pulaski,391806.0
